0:0:0:0:0:0:0:1 - - [06/oct./2021:08:01:27 +0200] "GET /api/issues/search?componentKeys=graphe&s=FILE_LINE&&resolved=false&sinceLeakPeriod=true&types=CODE_SMELL&ps=1&facets=createdAt&additionalFields=_all&timeZone=Europe%2FParis HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=graphe&resolved=false&sinceLeakPeriod=true&types=CODE_SMELL" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAP3"
0:0:0:0:0:0:0:1 - - [06/oct./2021:08:01:33 +0200] "GET /api/sources/issue_snippets?issueKey=AXxRA4znf-Sbr7pg1mvq HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=graphe&open=AXxRA4znf-Sbr7pg1mvq&resolved=false&sinceLeakPeriod=true&types=CODE_SMELL" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.72" "AXxLD2ByEtp+BrVwAAP4"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /batch/index HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP5"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /api/settings/values.protobuf HTTP/1.1" 200 4761 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP6"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /api/plugins/installed HTTP/1.1" 200 - "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP7"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /api/settings/values.protobuf?component=graphe HTTP/1.1" 200 4767 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP8"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /api/qualityprofiles/search.protobuf?project=graphe HTTP/1.1" 200 1588 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP9"
127.0.0.1 - - [06/oct./2021:10:20:57 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1ZB5xwST75WQogI&ps=500&p=1 HTTP/1.1" 200 6579 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP+"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1Z35xwST75WQohl&ps=500&p=1 HTTP/1.1" 200 7859 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAP/"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1ad5xwST75WQoiF&ps=500&p=1 HTTP/1.1" 200 11 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQA"
127.0.0.1 - - [06/oct./2021:10:20:58 +0200] "GET /api/rules/search.protobuf?f=repo,name,severity,lang,internalKey,templateKey,params,actives,createdAt,updatedAt,deprecatedKeys&activation=true&qprofile=AXxLD1aj5xwST75WQojA&ps=500&p=1 HTTP/1.1" 200 6195 "-" "ScannerCLI/4.6.2.2472" "AXxLD2ByEtp+BrVwAAQB"
